narration_id,video_id,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class
M5-1_0,M5-1,290,373,Open inner packaging and remove applicator.,1,1,1,1
M5-1_1,M5-1,379,507,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-1_2,M5-1,528,555,Insert plunger into applicator.,4,4,4,4
M5-1_3,M5-1,587,766,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-1_4,M5-1,797,970,Apply manual pressure if necessary.,0,0,0,0
M5-10_0,M5-10,312,340,Open inner packaging and remove applicator.,1,1,1,1
M5-10_1,M5-10,360,474,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-10_2,M5-10,487,513,Insert plunger into applicator.,4,4,4,4
M5-10_3,M5-10,518,641,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-10_4,M5-10,681,785,Apply manual pressure if necessary.,0,0,0,0
M5-11_0,M5-11,308,328,Open inner packaging and remove applicator.,1,1,1,1
M5-11_1,M5-11,356,514,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-11_2,M5-11,544,573,Insert plunger into applicator.,4,4,4,4
M5-11_3,M5-11,591,700,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-11_4,M5-11,722,836,Apply manual pressure if necessary.,0,0,0,0
M5-12_0,M5-12,217,373,Open inner packaging and remove applicator.,1,1,1,1
M5-12_1,M5-12,408,558,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-12_2,M5-12,566,588,Insert plunger into applicator.,4,4,4,4
M5-12_3,M5-12,614,786,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-12_4,M5-12,807,962,Apply manual pressure if necessary.,0,0,0,0
M5-13_0,M5-13,364,463,Apply manual pressure if necessary.,0,0,0,0
M5-13_1,M5-13,417,1255,Open inner packaging and remove applicator.,1,1,1,1
M5-13_2,M5-13,1268,1585,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-13_3,M5-13,1706,2166,Insert plunger into applicator.,4,4,4,4
M5-13_4,M5-13,2171,2568,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-13_5,M5-13,2769,3039,Apply manual pressure if necessary.,0,0,0,0
M5-15_0,M5-15,504,732,Open inner packaging and remove applicator.,1,1,1,1
M5-15_1,M5-15,816,1054,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-15_2,M5-15,1149,1173,Insert plunger into applicator.,4,4,4,4
M5-15_3,M5-15,1202,1750,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-15_4,M5-15,2061,2622,Apply manual pressure if necessary.,0,0,0,0
M5-16_0,M5-16,352,992,Apply manual pressure if necessary.,0,0,0,0
M5-16_1,M5-16,429,755,Open inner packaging and remove applicator.,1,1,1,1
M5-16_2,M5-16,821,1120,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-16_3,M5-16,1152,1248,Insert plunger into applicator.,4,4,4,4
M5-16_4,M5-16,1251,1912,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-16_5,M5-16,2016,2494,Apply manual pressure if necessary.,0,0,0,0
M5-18_0,M5-18,273,431,Apply manual pressure if necessary.,0,0,0,0
M5-18_1,M5-18,347,388,Insert plunger into applicator.,4,4,4,4
M5-18_2,M5-18,433,476,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-18_3,M5-18,517,653,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-18_4,M5-18,690,768,Apply manual pressure if necessary.,0,0,0,0
M5-2_0,M5-2,180,311,Open inner packaging and remove applicator.,1,1,1,1
M5-2_1,M5-2,374,404,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-2_2,M5-2,409,434,Insert plunger into applicator.,4,4,4,4
M5-2_3,M5-2,494,664,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-2_4,M5-2,755,916,Apply manual pressure if necessary.,0,0,0,0
M5-20_0,M5-20,200,298,Apply manual pressure if necessary.,0,0,0,0
M5-20_1,M5-20,210,286,Insert plunger into applicator.,4,4,4,4
M5-20_2,M5-20,308,371,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-20_3,M5-20,383,537,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-20_4,M5-20,559,644,Apply manual pressure if necessary.,0,0,0,0
M5-21_0,M5-21,221,768,Apply manual pressure if necessary.,0,0,0,0
M5-21_1,M5-21,233,545,Open inner packaging and remove applicator.,1,1,1,1
M5-21_2,M5-21,583,772,Insert plunger into applicator.,4,4,4,4
M5-21_3,M5-21,782,840,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-21_4,M5-21,877,961,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-21_5,M5-21,987,1057,Apply manual pressure if necessary.,0,0,0,0
M5-22_0,M5-22,212,542,Apply manual pressure if necessary.,0,0,0,0
M5-22_1,M5-22,247,352,Open inner packaging and remove applicator.,1,1,1,1
M5-22_2,M5-22,374,543,Insert plunger into applicator.,4,4,4,4
M5-22_3,M5-22,594,649,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-22_4,M5-22,664,789,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-22_5,M5-22,819,900,Apply manual pressure if necessary.,0,0,0,0
M5-23_0,M5-23,290,638,Apply manual pressure if necessary.,0,0,0,0
M5-23_1,M5-23,361,495,Open inner packaging and remove applicator.,1,1,1,1
M5-23_2,M5-23,546,681,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-23_3,M5-23,700,742,Insert plunger into applicator.,4,4,4,4
M5-23_4,M5-23,760,915,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-23_5,M5-23,951,1206,Apply manual pressure if necessary.,0,0,0,0
M5-24_0,M5-24,243,623,Apply manual pressure if necessary.,0,0,0,0
